participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,1,33,formal,congruent,1779260825,60.0,2026-05-20T15:09:54.640,0,0,0,1,162257.072,162270.824,congruent,right,right,>>>>>,j,j,1,1313.175,163697.071,none,,162357.072,162383.896,163697.071,3000,1313.175,163697.071,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 162257.072, ""actual_onset_global_ms"": 162270.824, ""actual_offset_global_ms"": 162384.138, ""actual_duration_ms"": 113.314}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 162357.072, ""actual_onset_global_ms"": 162383.896, ""actual_offset_global_ms"": 163697.071, ""actual_duration_ms"": 1313.175}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,2,34,formal,incongruent,1779260825,60.0,2026-05-20T15:09:56.090,0,0,0,1,163706.287,163720.723,incongruent,right,left,<<><<,j,j,1,617.982,164453.133,none,,163806.287,163835.151,164453.133,3000,617.982,164453.133,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 163706.287, ""actual_onset_global_ms"": 163720.723, ""actual_offset_global_ms"": 163834.426, ""actual_duration_ms"": 113.703}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 163806.287, ""actual_onset_global_ms"": 163835.151, ""actual_offset_global_ms"": 164453.133, ""actual_duration_ms"": 617.982}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,3,35,formal,congruent,1779260825,60.0,2026-05-20T15:09:56.855,0,0,0,1,164472.072,164483.918,congruent,left,left,<<<<<,s,s,1,735.566,165337.11,none,,164572.072,164601.544,165337.11,3000,735.566,165337.11,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 164472.072, ""actual_onset_global_ms"": 164483.918, ""actual_offset_global_ms"": 164602.6, ""actual_duration_ms"": 118.682}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 164572.072, ""actual_onset_global_ms"": 164601.544, ""actual_offset_global_ms"": 165337.11, ""actual_duration_ms"": 735.566}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,4,36,formal,incongruent,1779260825,60.0,2026-05-20T15:09:57.738,0,0,0,1,165354.729,165367.483,incongruent,left,right,>><>>,s,s,1,1717.482,167201.92,none,,165454.729,165484.438,167201.92,3000,1717.482,167201.92,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 165354.729, ""actual_onset_global_ms"": 165367.483, ""actual_offset_global_ms"": 165484.942, ""actual_duration_ms"": 117.459}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 165454.729, ""actual_onset_global_ms"": 165484.438, ""actual_offset_global_ms"": 167201.92, ""actual_duration_ms"": 1717.482}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,5,37,formal,incongruent,1779260825,60.0,2026-05-20T15:09:59.606,0,0,0,1,167222.634,167236.681,incongruent,right,left,<<><<,j,j,1,763.422,168113.578,none,,167322.634,167350.156,168113.578,3000,763.422,168113.578,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 167222.634, ""actual_onset_global_ms"": 167236.681, ""actual_offset_global_ms"": 167352.655, ""actual_duration_ms"": 115.974}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 167322.634, ""actual_onset_global_ms"": 167350.156, ""actual_offset_global_ms"": 168113.578, ""actual_duration_ms"": 763.422}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,6,38,formal,congruent,1779260825,60.0,2026-05-20T15:10:00.506,0,0,0,1,168122.053,168134.749,congruent,right,right,>>>>>,j,j,1,909.281,169161.339,none,,168222.053,168252.058,169161.339,3000,909.281,169161.339,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 168122.053, ""actual_onset_global_ms"": 168134.749, ""actual_offset_global_ms"": 168250.185, ""actual_duration_ms"": 115.436}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 168222.053, ""actual_onset_global_ms"": 168252.058, ""actual_offset_global_ms"": 169161.339, ""actual_duration_ms"": 909.281}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,7,39,formal,congruent,1779260825,60.0,2026-05-20T15:10:01.554,0,0,0,1,169170.696,169183.982,congruent,left,left,<<<<<,s,s,1,661.445,169961.964,none,,169270.696,169300.519,169961.964,3000,661.445,169961.964,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 169170.696, ""actual_onset_global_ms"": 169183.982, ""actual_offset_global_ms"": 169300.884, ""actual_duration_ms"": 116.902}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 169270.696, ""actual_onset_global_ms"": 169300.519, ""actual_offset_global_ms"": 169961.964, ""actual_duration_ms"": 661.445}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,8,40,formal,incongruent,1779260825,60.0,2026-05-20T15:10:02.355,0,0,0,1,169972.51,169984.271,incongruent,left,right,>><>>,s,s,1,1136.214,171237.265,none,,170072.51,170101.051,171237.265,3000,1136.214,171237.265,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 169972.51, ""actual_onset_global_ms"": 169984.271, ""actual_offset_global_ms"": 170100.787, ""actual_duration_ms"": 116.516}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 170072.51, ""actual_onset_global_ms"": 170101.051, ""actual_offset_global_ms"": 171237.265, ""actual_duration_ms"": 1136.214}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,9,41,formal,congruent,1779260825,60.0,2026-05-20T15:10:03.639,0,0,0,1,171254.827,171268.502,congruent,left,left,<<<<<,s,s,1,1596.799,172981.6,none,,171354.827,171384.801,172981.6,3000,1596.799,172981.6,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 171254.827, ""actual_onset_global_ms"": 171268.502, ""actual_offset_global_ms"": 171384.812, ""actual_duration_ms"": 116.31}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 171354.827, ""actual_onset_global_ms"": 171384.801, ""actual_offset_global_ms"": 172981.6, ""actual_duration_ms"": 1596.799}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_2,formal,2,10,42,formal,incongruent,1779260825,60.0,2026-05-20T15:10:05.374,0,0,0,1,172990.027,173003.257,incongruent,right,left,<<><<,j,j,1,843.455,173962.068,none,,173090.027,173118.613,173962.068,3000,843.455,173962.068,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 172990.027, ""actual_onset_global_ms"": 173003.257, ""actual_offset_global_ms"": 173117.998, ""actual_duration_ms"": 114.741}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 173090.027, ""actual_onset_global_ms"": 173118.613, ""actual_offset_global_ms"": 173962.068, ""actual_duration_ms"": 843.455}]",,,,,0,0,1,0,1
